client_id,attrition_flag,first_name,last_name,customer_age,gender,dependent_count,education_level,marital_status,income,card_category,month_on_book,credit_limit,remaining_balance
768805383,Existing Customer,Johathan,Waelchi,45,Male,3,High School,Married,385632,Blue,39,12691,777
818770008,Existing Customer,Adriana,Hintz,49,Female,5,Graduate,Single,484438,Blue,44,8256,864
713982108,Existing Customer,Kitty,Prosacco,51,Male,3,Graduate,Married,129793,Blue,36,3418,0
769911858,Existing Customer,Antonia,Sipes,40,Female,4,High School,Unknown,126721,Blue,34,3313,2517
709106358,Existing Customer,Cade,Pfannerstill,40,Male,3,Uneducated,Married,421406,Blue,21,4716,0
713061558,Existing Customer,Sylvester,Collins,44,Male,2,Graduate,Married,411901,Blue,36,4010,1247
810347208,Existing Customer,Carli,Goodwin,51,Male,4,Unknown,Married,235142,Gold,46,34516,2264
818906208,Existing Customer,Karina,Cole,32,Male,0,High School,Unknown,92498,Silver,27,29081,1396
710930508,Existing Customer,Charlene,Kris,37,Male,3,Uneducated,Single,180789,Blue,36,22352,2517
719661558,Existing Customer,Sydnee,Wisoky,48,Male,2,Graduate,Single,400677,Blue,36,11656,1677
708790833,Existing Customer,Mark,Hamill,42,Male,5,Uneducated,Unknown,230801,Blue,31,6748,1467
710821833,Existing Customer,Harrison,Ford,65,Male,1,Unknown,Married,442138,Blue,54,9095,1587
710599683,Existing Customer,Camila,Toy,56,Male,1,College,Single,202704,Blue,36,11751,0
816082233,Existing Customer,Earl,Schimmel,35,Male,3,Graduate,Unknown,107871,Blue,30,8547,1666
712396908,Existing Customer,Rosa,Prosacco,57,Female,2,Graduate,Married,225411,Blue,48,2436,680
714885258,Existing Customer,Jarod,Hansen,44,Male,4,Unknown,Unknown,189146,Blue,37,4234,972
709967358,Existing Customer,Lukas,Considine,48,Male,4,Post-Graduate,Single,292632,Blue,36,30367,2362
753327333,Existing Customer,Rahul,Goldner,41,Male,3,Unknown,Married,131182,Blue,34,13535,1291
806160108,Existing Customer,Justen,Davis,61,Male,1,High School,Married,210625,Blue,56,3193,2517
709327383,Existing Customer,Denise,Sawayn,45,Female,2,Graduate,Married,133006,Blue,37,14470,1157
806165208,Existing Customer,Naomie,Kassulke,47,Male,1,Doctorate,Divorced,388464,Blue,42,20979,1800
708508758,Attrited Customer,Lana,Graham,62,Female,0,Graduate,Married,95080,Blue,49,1438.3,0
784725333,Existing Customer,Cayla,Terry,41,Male,3,High School,Married,430592,Blue,33,4470,680
811604133,Existing Customer,Bridget,Bayer,47,Female,4,Unknown,Single,51200,Blue,36,2492,1560
789124683,Existing Customer,Forrest,Batz,54,Male,2,Unknown,Married,80570,Blue,42,12217,0
771071958,Existing Customer,Levi,Fahey,41,Female,3,Graduate,Single,413047,Blue,28,7768,1669
720466383,Existing Customer,Miller,Schulist,59,Male,1,High School,Unknown,329646,Blue,46,14784,1374
804424383,Existing Customer,Margret,Schiller,63,Male,1,Unknown,Married,271293,Blue,56,10215,1010
718813833,Existing Customer,Jordy,Mraz,44,Female,3,Uneducated,Single,133437,Blue,34,10100,0
