id,firstname,lastname,email,number,gender,country,department,year,GPA
43619236,Alyda,Trace,Alyda.Trace@yopmail.com,493773950,Male,Saint Kitts and Nevis,English,1,5.71
46446479,Tarra,Shanley,Tarra.Shanley@yopmail.com,497385586,Female,Sudan,Mathematics and Statistics,3,4.85
45708308,Mady,Saunderson,Mady.Saunderson@yopmail.com,415591715,Male,Equatorial Guinea,"Modern History, Plities & International Relation",2,5.16
49489008,Lila,Bigner,Lila.Bigner@yopmail.com,470517096,Male,Papua New Guinea,Business ,3,3.42
41107235,Kayla,Orlene,Kayla.Orlene@yopmail.com,498292265,Male,South Africa,Mathematics and Statistics,3,6.58
49742699,Chloris,Goerke,Chloris.Goerke@yopmail.com,415506482,Female,"Palestinian Territory, Occupied",Education,1,3.2
40582657,Wilma,Letsou,Wilma.Letsou@yopmail.com,490574816,Female,Svalbard and Jan Mayen,Management,2,5.99
44429237,Sashenka,Faria,Sashenka.Faria@yopmail.com,413910921,Male,Congo,"Media, Music, Communication and Cultural Studies",1,3.2
49161066,Lynea,Westphal,Lynea.Westphal@yopmail.com,403270832,Female,Ecuador,IT,2,4.31
41935784,Carolina,Goode,Carolina.Goode@yopmail.com,482304699,Female,Tajikistan,"Media, Music, Communication and Cultural Studies",1,4.91
49849255,Mallory,Salvidor,Mallory.Salvidor@yopmail.com,408831118,Female,Chad,"Media, Music, Communication and Cultural Studies",1,2.52
44960512,Jan,Cullin,Jan.Cullin@yopmail.com,402407160,Female,Tunisia,Engineering,2,2.92
47834768,Konstance,Cosenza,Konstance.Cosenza@yopmail.com,451549870,Male,Sri Lanka,Health Professions,2,6.72
48093216,Felice,Randene,Felice.Randene@yopmail.com,452069841,Male,Ecuador,IT,3,4.29
42216561,Lisette,Sibyls,Lisette.Sibyls@yopmail.com,437818731,Female,Zambia,Business ,1,4.28
42096156,Nariko,Tayib,Nariko.Tayib@yopmail.com,405794643,Female,Serbia and Montenegro,Arts,1,3.48
46127555,Merle,Kermit,Merle.Kermit@yopmail.com,455496713,Female,AndorrA,Architecture,1,4.1
41292058,Raquela,Francene,Raquela.Francene@yopmail.com,407205952,Female,Kuwait,Business ,1,6.8
44897610,Winifred,Briney,Winifred.Briney@yopmail.com,454445718,Female,Benin,"Modern History, Plities & International Relation",3,3.72
46823156,Annecorinne,Grosz,Annecorinne.Grosz@yopmail.com,465520911,Female,Uruguay,Management,1,4.73
44156773,Lexine,Frodi,Lexine.Frodi@yopmail.com,496377789,Male,French Southern Territories,Arts,3,3.11
42047804,Renie,Mathilde,Renie.Mathilde@yopmail.com,453390225,Male,Guatemala,Linguistics,1,3.68
44717074,Ofilia,Shama,Ofilia.Shama@yopmail.com,486728376,Male,Saint Kitts and Nevis,Philosophy,1,2.87
42129181,Fredericka,Karna,Fredericka.Karna@yopmail.com,420975970,Male,Liberia,Business ,3,5.5
46077312,Madeleine,Iaverne,Madeleine.Iaverne@yopmail.com,417853681,Male,Saudi Arabia,IT,1,1.42
44734098,Margarette,Giff,Margarette.Giff@yopmail.com,418758517,Female,Greece,Engineering,1,5.52
48700709,Collen,Nisbet,Collen.Nisbet@yopmail.com,414408119,Male,Yemen,Medicine,2,2.33
44297484,Ernesta,Bach,Ernesta.Bach@yopmail.com,453230335,Male,"Palestinian Territory, Occupied",Arts,1,2.58
49273814,Ilse,Shaver,Ilse.Shaver@yopmail.com,492947680,Male,Heard Island and Mcdonald Islands,Linguistics,3,6.79
49505321,Sybille,Carey,Sybille.Carey@yopmail.com,471171063,Female,Reunion,Business ,1,3.74
45746421,Lolita,Estella,Lolita.Estella@yopmail.com,415160448,Male,Lesotho,Philosophy,2,6.86
41064436,Eve,Jalbert,Eve.Jalbert@yopmail.com,437051090,Male,Belgium,Management,3,2.09
46893268,Beth,Mayeda,Beth.Mayeda@yopmail.com,449555456,Female,Cook Islands,Business ,2,5.7
44047439,Chloris,Cleo,Chloris.Cleo@yopmail.com,448380726,Male,Cambodia,"Media, Music, Communication and Cultural Studies",2,4.84
48190329,Mary,Fax,Mary.Fax@yopmail.com,412264281,Female,Bolivia,"Modern History, Plities & International Relation",1,5.21
47679271,Bobinette,Olin,Bobinette.Olin@yopmail.com,403718405,Female,Japan,IT,2,6.94
41953048,Elvira,Damarra,Elvira.Damarra@yopmail.com,414585212,Female,Togo,Health Professions,2,4.92
48890512,Mariele,Hoban,Mariele.Hoban@yopmail.com,485973049,Female,Niger,Medicine,1,6.93
43356418,Kirstin,Valerio,Kirstin.Valerio@yopmail.com,497255678,Female,Ukraine,Arts,2,5.78
43470776,Korrie,Alice,Korrie.Alice@yopmail.com,460978445,Male,Reunion,"Modern History, Plities & International Relation",1,4.92
49081697,Gale,Hartnett,Gale.Hartnett@yopmail.com,481358946,Female,Wallis and Futuna,Engineering,1,2.05
47655888,Clementine,Astra,Clementine.Astra@yopmail.com,482769321,Male,Falkland Islands (Malvinas),Education,1,3.17
44447972,Blinni,Muriel,Blinni.Muriel@yopmail.com,485249534,Female,Turks and Caicos Islands,Architecture,3,6.26
49982606,Violet,Johanna,Violet.Johanna@yopmail.com,469186041,Male,United Kingdom,Philosophy,1,6.56
46258886,Merle,Thunell,Merle.Thunell@yopmail.com,443156358,Male,Kiribati,Arts,2,4.14
42274682,Meghann,Belanger,Meghann.Belanger@yopmail.com,469581548,Female,Papua New Guinea,Architecture,1,4.45
46606699,Trudie,Alexandr,Trudie.Alexandr@yopmail.com,495509065,Female,Greenland,"Media, Music, Communication and Cultural Studies",1,3.61
43323502,Ayn,Talia,Ayn.Talia@yopmail.com,471576803,Female,"Macedonia, The Former Yugoslav Republic of",Law,3,6.2
46428563,Silvana,Suk,Silvana.Suk@yopmail.com,445486218,Male,Jordan,"Modern History, Plities & International Relation",3,2.82
44351377,Devina,Haymes,Devina.Haymes@yopmail.com,411883700,Female,Spain,Arts,3,6.23
46479028,Bibby,Goerke,Bibby.Goerke@yopmail.com,417943249,Female,Ghana,Health Professions,2,1.83
40069928,Delilah,Wilkinson,Delilah.Wilkinson@yopmail.com,465977548,Male,United Arab Emirates,"Modern History, Plities & International Relation",1,4.28
49741754,Margette,Publia,Margette.Publia@yopmail.com,484198757,Female,China,"Media, Music, Communication and Cultural Studies",2,5.01
42376975,Meghann,Marcellus,Meghann.Marcellus@yopmail.com,480972610,Male,Bermuda,English,3,6.1
